d_Ob,d_M,d_fundM,d_out(Ob*fundM),rank_pred,rank_obs,<S_Colorado>,SEM,logdOb,log_min
2,3,2,4,2,2,0.31210481727374584,0.019802993757512034,0.6931471805599453,0.6931471805599453
2,3,3,6,2,2,0.45564428234654947,0.013266409862766167,0.6931471805599453,0.6931471805599453
2,4,2,4,2,2,0.3444465108077136,0.021149983695674893,0.6931471805599453,0.6931471805599453
2,4,3,6,2,2,0.44112796947989014,0.017022080075592926,0.6931471805599453,0.6931471805599453
2,4,4,8,2,2,0.5453214939767509,0.011879166115817037,0.6931471805599453,0.6931471805599453
2,5,2,4,2,2,0.3223757139807258,0.020123922958767818,0.6931471805599453,0.6931471805599453
2,5,3,6,2,2,0.4546758008355519,0.015953397373874755,0.6931471805599453,0.6931471805599453
2,5,4,8,2,2,0.5069661187288568,0.012957600439675226,0.6931471805599453,0.6931471805599453
3,3,2,6,2,2,0.46071083655282435,0.014882164193415691,1.0986122886681098,0.6931471805599453
3,3,3,9,3,3,0.6471322731168272,0.01749566745344092,1.0986122886681098,1.0986122886681098
3,4,2,6,2,2,0.4405377120916806,0.014691183353414452,1.0986122886681098,0.6931471805599453
3,4,3,9,3,3,0.6715499041160538,0.016704387978192153,1.0986122886681098,1.0986122886681098
3,4,4,12,3,3,0.7826424025733065,0.01302248982528388,1.0986122886681098,1.0986122886681098
3,5,2,6,2,2,0.45103916197917754,0.014977785665231029,1.0986122886681098,0.6931471805599453
3,5,3,9,3,3,0.6809879971691224,0.016326542130845202,1.0986122886681098,1.0986122886681098
3,5,4,12,3,3,0.7652686419485626,0.013289683464773982,1.0986122886681098,1.0986122886681098
4,3,2,8,2,2,0.5203832621203158,0.011635053094224187,1.3862943611198906,0.6931471805599453
4,3,3,12,3,3,0.7574106927011648,0.014686069667221201,1.3862943611198906,1.0986122886681098
4,4,2,8,2,2,0.5236294203642122,0.011530157916560929,1.3862943611198906,0.6931471805599453
4,4,3,12,3,3,0.750315611276908,0.016699692032290457,1.3862943611198906,1.0986122886681098
4,4,4,16,4,4,0.9402259021565873,0.013378012580414954,1.3862943611198906,1.3862943611198906
4,5,2,8,2,2,0.524608982892824,0.012309427176758215,1.3862943611198906,0.6931471805599453
4,5,3,12,3,3,0.7334381247480832,0.013171918615171004,1.3862943611198906,1.0986122886681098
4,5,4,16,4,4,0.9121810562639133,0.013329536286668718,1.3862943611198906,1.3862943611198906
