d_Ob,d_M,d_eff,d_fund,d_out(fund*R),rank_pred,rank_obs,<S_HUZ>,SEM,logdOb,log_min
2,2,4,2,4,2,2,0.3507454941371912,0.018428867118606883,0.6931471805599453,0.6931471805599453
2,2,4,3,6,2,2,0.4942532360826231,0.01950066168956456,0.6931471805599453,0.6931471805599453
2,3,6,2,4,2,2,0.3012309062052304,0.01952621574712418,0.6931471805599453,0.6931471805599453
2,3,6,3,6,2,2,0.5067140937478475,0.01460722922750611,0.6931471805599453,0.6931471805599453
2,3,6,5,10,2,2,0.5979135502839772,0.011281963710420444,0.6931471805599453,0.6931471805599453
2,4,8,2,4,2,2,0.3495617686863346,0.020160757556639597,0.6931471805599453,0.6931471805599453
2,4,8,3,6,2,2,0.49010144386063137,0.01625533137369219,0.6931471805599453,0.6931471805599453
2,4,8,5,10,2,2,0.5864667228548416,0.009840800362422873,0.6931471805599453,0.6931471805599453
2,4,8,8,16,2,2,0.6305367727337524,0.008720635817672968,0.6931471805599453,0.6931471805599453
3,2,6,2,6,2,2,0.4896499810281858,0.01765887422798079,1.0986122886681098,0.6931471805599453
3,2,6,3,9,3,3,0.6809095418791821,0.015307024340631163,1.0986122886681098,1.0986122886681098
3,2,6,5,15,3,3,0.913972304125741,0.014926364870183985,1.0986122886681098,1.0986122886681098
3,3,9,2,6,2,2,0.44311561033332564,0.016384165064669946,1.0986122886681098,0.6931471805599453
3,3,9,3,9,3,3,0.6902560454167894,0.01713065324142242,1.0986122886681098,1.0986122886681098
3,3,9,5,15,3,3,0.8968288438241654,0.012162874157629048,1.0986122886681098,1.0986122886681098
3,3,9,8,24,3,3,0.9751446600296874,0.010590744289403944,1.0986122886681098,1.0986122886681098
3,4,12,2,6,2,2,0.4567611543104695,0.017316511482576055,1.0986122886681098,0.6931471805599453
3,4,12,3,9,3,3,0.6986604475889548,0.014646622979797307,1.0986122886681098,1.0986122886681098
3,4,12,5,15,3,3,0.8353328793973945,0.013189104634618472,1.0986122886681098,1.0986122886681098
3,4,12,8,24,3,3,0.9542284546925177,0.0089639241129357,1.0986122886681098,1.0986122886681098
4,2,8,2,8,2,2,0.5219433681024495,0.013577595697151496,1.3862943611198906,0.6931471805599453
4,2,8,3,12,3,3,0.8012781765402757,0.01329638971654553,1.3862943611198906,1.0986122886681098
4,2,8,5,20,4,4,1.0478894734372266,0.013839139711739747,1.3862943611198906,1.3862943611198906
4,2,8,8,32,4,4,1.2114549036427058,0.014186237128411007,1.3862943611198906,1.3862943611198906
4,3,12,2,8,2,2,0.5187203167845593,0.013680530835219843,1.3862943611198906,0.6931471805599453
4,3,12,3,12,3,3,0.7691364675496153,0.013377701428134235,1.3862943611198906,1.0986122886681098
4,3,12,5,20,4,4,1.0435926802707403,0.014019100376183447,1.3862943611198906,1.3862943611198906
4,3,12,8,32,4,4,1.189401808249889,0.011025587335363499,1.3862943611198906,1.3862943611198906
4,4,16,2,8,2,2,0.5296223507483371,0.013649303130085338,1.3862943611198906,0.6931471805599453
4,4,16,3,12,3,3,0.7645543285345948,0.013806611795188216,1.3862943611198906,1.0986122886681098
4,4,16,5,20,4,4,1.0271119641408692,0.01194130334779882,1.3862943611198906,1.3862943611198906
4,4,16,8,32,4,4,1.1798254656333487,0.009065615850313645,1.3862943611198906,1.3862943611198906
