d_B,class,a,bulk_diag,measured,diff
4,product,0,0.14574068432208892,0.14672147521288129,0.0009807908907923657
4,product,1,0.023070617051323128,0.023343428035354448,0.00027281098403132004
4,product,2,0.010213789631749529,0.010290411361090135,7.662172934060595e-05
4,product,3,0.8209749089948386,0.8196446853906736,-0.001330223604165015
6,product,0,0.2807733292357356,0.2815167468081815,0.0007434175724458925
6,product,1,0.006989982515017479,0.006974166706348885,-1.5815808668593646e-05
6,product,2,0.013989169940074209,0.013991526411855637,2.356471781428393e-06
6,product,3,0.24609685188642394,0.24605897883438518,-3.7873052038756017e-05
6,product,4,0.3544639333760009,0.35381565828577644,-0.0006482750902244705
6,product,5,0.09768673304674809,0.0976429229534527,-4.381009329539054e-05
8,product,0,0.1659008154089356,0.16549014484201197,-0.00041067056692362103
8,product,1,0.11421795560349485,0.1146847470340751,0.0004667914305802462
8,product,2,0.05776057323348289,0.057779276446285624,1.8703212802735625e-05
8,product,3,0.05699121462485926,0.057169685201821314,0.00017847057696205454
8,product,4,0.3049488053250246,0.30437567174451574,-0.0005731335805088666
8,product,5,0.17991510671210392,0.18066041631893126,0.0007453096068273379
8,product,6,0.04118564064308208,0.04109190992342147,-9.373071966061602e-05
8,product,7,0.07907988844901641,0.0787481484889378,-0.0003317399600786114
4,haar,0,0.2566993861929329,0.2576819346576516,0.00098254846471868
4,haar,1,0.23074643900142108,0.22856323836152256,-0.0021832006398985193
4,haar,2,0.22645731869342572,0.22616027099892594,-0.00029704769449978574
4,haar,3,0.28609685611222047,0.28759455598190015,0.0014976998696796806
6,haar,0,0.18965895371621205,0.18953872009053513,-0.0001202336256769243
6,haar,1,0.15153891053256313,0.15180610048844947,0.0002671899558863433
6,haar,2,0.15332863011870385,0.15305971414537634,-0.0002689159733275104
6,haar,3,0.20177168757648478,0.2023311099733359,0.0005594223968511114
6,haar,4,0.1618473239329679,0.161403908154483,-0.000443415778484918
6,haar,5,0.14185449412306825,0.14186044714782,5.953024751759184e-06
8,haar,0,0.10805733093899965,0.10807481025020171,1.7479311202064918e-05
8,haar,1,0.11269239647736463,0.11311606582243253,0.00042366934506789244
8,haar,2,0.09927526212263824,0.09976247536156146,0.00048721323892322865
8,haar,3,0.14494904876980425,0.14469863413446402,-0.00025041463534022923
8,haar,4,0.11866671776578175,0.11879530289982503,0.00012858513404327698
8,haar,5,0.1397069644851453,0.139338945292182,-0.0003680191929633092
8,haar,6,0.12281475621974844,0.12283818686356689,2.3430643818447838e-05
8,haar,7,0.1538375232205178,0.1533755793757664,-0.00046194384475140016
