d_B,class,N,measured,sem,theory,z
4,haar,300,0.01875,0.0009,0.0204,-1.76
6,haar,300,0.01225,0.0006,0.01208,0.29
8,haar,300,0.00764,0.0004,0.0081,-1.27
10,haar,300,0.00618,0.0003,0.00571,1.78
12,haar,300,0.00453,0.0002,0.00426,1.3
14,haar,200,0.00366,0.0002,0.00336,1.34
16,haar,240,0.00301,0.0002,0.00269,1.9
18,haar,60,0.00233,0.0003,0.00249,-0.54
20,haar,190,0.00212,0.0001,0.00211,0.09
24,haar,60,0.00151,0.0002,0.00177,-1.5
4,product,300,0.2133,0.013,0.211,0.18
6,product,300,0.186,0.012,0.194,-0.67
8,product,300,0.193,0.012,0.1769,1.3
10,product,300,0.1535,0.011,0.1628,-0.81
12,product,300,0.1662,0.011,0.1542,1.13
16,product,240,0.139,0.009,0.1362,0.32
20,product,190,0.119,0.018,0.125,-0.35
24,product,60,0.0932,0.018,0.114,-1.19
